Turn;Who;Utterance
1;reynens;hello
2;Michael Clark;Hello and welcome.
3;nguyenh;Hi
4;saroyam;hmm it doesnt show me who is on
5;saroyam;and its duplicating what i say
6;reynens;We broke the system again
7;Michael Clark;Did you get two invitations Mandeep?
8;saroyam;yes
9;nguyenh;I see saroyam but not my self
10;reynens;I did, but I declined one
11;reynens;accepted the other
12;Michael Clark;Okay, in the future if you get two invitations deny the second.
13;saroyam;i clicked yes to both
14;saroyam;ok
15;nguyenh;I got two invitations 
16;nguyenh;I accept only one
17;reynens;try disconnecting and reinviting I guess
18;saroyam;should i disconnect and reconnect
19;Michael Clark;Please quit your program and open it again, connect and you'll receive another invitation.
20;saroyam;ok its working now
21;Michael Clark;Excellent
22;reynens;We lost Than though.
23;Michael Clark;What other name do you go by Than? I don't have that name on my list. :-)
24;saroyam;arent we supposed to have some developers in here
25;nguyenh;nguyenh
26;Michael Clark;Yes, waiting for one more developer.
27;gosselinc;hey
28;gosselinc;double
29;nguyenh;Mike, this is Thanh
30;nguyenh;I am in
31;gosselinc;hoy
32;reynens;Who accepted twice?
33;nguyenh;not me
34;reynens;Everyone say Hi... once.
35;saroyam;hi
36;kaspara;Hey
37;reynens;Hi
38;rizwanp;hi
39;fairheadj;hi
40;rizwanp;wait 2 min.
41;nguyenh;Let do a head count
42;rizwanp;no bad computer don't type twice
43;nguyenh;is Jeff here?
44;saroyam;disconnect riz
45;reynens;disconnect and reconnect Rizwan
46;rizwanp;take off the echo 
47;corbettj;nice....hey all
48;nguyenh;ok, is Mindy on?
49;saroyam;yup
50;chiuo;yay, i'm here
51;saroyam;saroyam is mindy
52;nguyenh;Charles?
53;gosselinc;hoy
54;reynens;Riz is getting tech support
55;rizwanp;hi
56;reynens;OK, I think we're all on without echoes
57;nguyenh;rizwan?
58;nguyenh;is Scott on?
59;rizwanp;who's scott?
60;reynens;I am here
61;rizwanp;yes
62;gosselinc;so why did the worm cross the road?
63;rizwanp;to beat the crap out of u
64;gosselinc;cuz he was eaten by a chicken!
65;Michael Clark;Welcome to the first elicitation meeting. We are going to get started here shortly, but in the mean time feel free to state your name and role. Is there anyone missing that requires an invite?
66;nguyenh;hey Scott, are you on?
67;reynens;argh
68;kaspara;"Is there any way to show our actauly names instead of just 'gosselinc' etc ?
"
69;reynens;Scott <---
